blank,session,date,filename,unit,topic,long-topic,concepts,title,pad-slug,image,zotero-tag,zotero-readings,objective,Aufgabe,tags,contents,slide-filename,slide-frontmatter,slide-body1,slide-body2,slide-content
,8,03.07,2025-07-03-8.md,Historische Auseinandersetzungen,Rabbiner & messianische Bewegungen,Wie trennten sich die Wege der verschiedenen Sekten?,"Übergangsriten, Reinheit",8. Historische Auseinandersetzungen: Rabbiner & messianische Bewegungen,8,bar-kokhba-weight.jpg,8-Rabbiner-messianische-Bewegungen,"stembergerJudentumFruehrabbinischerZeit2015, goodmanModelingPartingWays2003","Gründe nennen, warum die Rabbiner nicht als alleinige Repräsentanten des Judentums in den ersten Jahrhunderten u.Z. anzusehen sind.","Diesen Satz vervollständigen: ""Wenn ich ein Rabbiner im 2. Jhdt. CE wäre, hätte ich auf den Bar-Kochba-Aufstand gegen die Römer so reagiert …""",[8],"---
layout: post
session: 8
tags: [8]
level: overview
---",2025-07-03-8-slides.md,"---
layout: reveal
title: 'Wie trennten sich die Wege der verschiedenen Sekten?'
author: 'Nathan Gibson'
session: 8
tags: [8,slides]
category: slides
image: bar-kokhba-weight.jpg
parallaxBackgroundImage: 'assets/img/bar-kokhba-weight.jpg'
---
","# Einführung ins Judentum
{: .r-fit-text}

### Wie trennten sich die Wege der verschiedenen Sekten?

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Die Entwicklung der jüdischen Selbstbestimmung bis ins 3. Jhdt. u.Z. skizzieren.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Gründe nennen, warum die Rabbiner nicht als alleinige Repräsentanten des Judentums in den ersten Jahrhunderten u.Z. anzusehen sind.","

## Lektüre



## Diskussion


## Vorschau

","---
layout: reveal
title: 'Wie trennten sich die Wege der verschiedenen Sekten?'
author: 'Nathan Gibson'
session: 8
tags: [8,slides]
category: slides
image: bar-kokhba-weight.jpg
parallaxBackgroundImage: 'assets/img/bar-kokhba-weight.jpg'
---
# Einführung ins Judentum
{: .r-fit-text}

### Wie trennten sich die Wege der verschiedenen Sekten?

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Die Entwicklung der jüdischen Selbstbestimmung bis ins 3. Jhdt. u.Z. skizzieren.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Gründe nennen, warum die Rabbiner nicht als alleinige Repräsentanten des Judentums in den ersten Jahrhunderten u.Z. anzusehen sind.

## Lektüre



## Diskussion


## Vorschau

"
,9,10.07,2025-07-10-9.md,Historische Auseinandersetzungen,Exkursion,,,9. Historische Auseinandersetzungen: Exkursion,9,torah-crown.jpg,9-Exkursion,,,,[9],"---
layout: post
session: 9
tags: [9]
level: overview
---",2025-07-10-9-slides.md,"---
layout: reveal
title: ''
author: 'Nathan Gibson'
session: 9
tags: [9,slides]
category: slides
image: torah-crown.jpg
parallaxBackgroundImage: 'assets/img/torah-crown.jpg'
---
","# Einführung ins Judentum
{: .r-fit-text}

### 

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Gründe nennen, warum die Rabbiner nicht als alleinige Repräsentanten des Judentums in den ersten Jahrhunderten u.Z. anzusehen sind.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

","

## Lektüre



## Diskussion


## Vorschau

Was haben Sie in diesem Kurs gelernt?","---
layout: reveal
title: ''
author: 'Nathan Gibson'
session: 9
tags: [9,slides]
category: slides
image: torah-crown.jpg
parallaxBackgroundImage: 'assets/img/torah-crown.jpg'
---
# Einführung ins Judentum
{: .r-fit-text}

### 

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Gründe nennen, warum die Rabbiner nicht als alleinige Repräsentanten des Judentums in den ersten Jahrhunderten u.Z. anzusehen sind.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel



## Lektüre



## Diskussion


## Vorschau

Was haben Sie in diesem Kurs gelernt?"
,10,17.07,2025-07-17-10.md,,Rückblick,Was haben Sie in diesem Kurs gelernt?,,10. : Rückblick,10,scroll.jpg,10-Rückblick,,Das im Kurs neu erworbene Wissen zusammenfassen und festigen.,,[10],"---
layout: post
session: 10
tags: [10]
level: overview
---",2025-07-17-10-slides.md,"---
layout: reveal
title: 'Was haben Sie in diesem Kurs gelernt?'
author: 'Nathan Gibson'
session: 10
tags: [10,slides]
category: slides
image: scroll.jpg
parallaxBackgroundImage: 'assets/img/scroll.jpg'
---
","# Einführung ins Judentum
{: .r-fit-text}

### Was haben Sie in diesem Kurs gelernt?

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel



## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Das im Kurs neu erworbene Wissen zusammenfassen und festigen.","

## Lektüre



## Diskussion


## Vorschau

Wie positionierten sich Rabbiner als die Wahren gegenüber Karäern und Muslimen?","---
layout: reveal
title: 'Was haben Sie in diesem Kurs gelernt?'
author: 'Nathan Gibson'
session: 10
tags: [10,slides]
category: slides
image: scroll.jpg
parallaxBackgroundImage: 'assets/img/scroll.jpg'
---
# Einführung ins Judentum
{: .r-fit-text}

### Was haben Sie in diesem Kurs gelernt?

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel



## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Das im Kurs neu erworbene Wissen zusammenfassen und festigen.

## Lektüre



## Diskussion


## Vorschau

Wie positionierten sich Rabbiner als die Wahren gegenüber Karäern und Muslimen?"
,11,24.07,2025-07-24-11.md,Historische Auseinandersetzungen,"Rabbiner, Karäer und Muslime",Wie positionierten sich Rabbiner als die Wahren gegenüber Karäern und Muslimen?,,"11. Historische Auseinandersetzungen: Rabbiner, Karäer und Muslime",11,torah-islamicate.jpg,"11-Rabbiner,-Karäer-und-Muslime",,"Einige Unterschiede zwischen Rabbinern, Karäern und Muslimen benennen.",,[11],"---
layout: post
session: 11
tags: [11]
level: overview
---",2025-07-24-11-slides.md,"---
layout: reveal
title: 'Wie positionierten sich Rabbiner als die Wahren gegenüber Karäern und Muslimen?'
author: 'Nathan Gibson'
session: 11
tags: [11,slides]
category: slides
image: torah-islamicate.jpg
parallaxBackgroundImage: 'assets/img/torah-islamicate.jpg'
---
","# Einführung ins Judentum
{: .r-fit-text}

### Wie positionierten sich Rabbiner als die Wahren gegenüber Karäern und Muslimen?

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Das im Kurs neu erworbene Wissen zusammenfassen und festigen.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Einige Unterschiede zwischen Rabbinern, Karäern und Muslimen benennen.","

## Lektüre



## Diskussion


## Vorschau

","---
layout: reveal
title: 'Wie positionierten sich Rabbiner als die Wahren gegenüber Karäern und Muslimen?'
author: 'Nathan Gibson'
session: 11
tags: [11,slides]
category: slides
image: torah-islamicate.jpg
parallaxBackgroundImage: 'assets/img/torah-islamicate.jpg'
---
# Einführung ins Judentum
{: .r-fit-text}

### Wie positionierten sich Rabbiner als die Wahren gegenüber Karäern und Muslimen?

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Das im Kurs neu erworbene Wissen zusammenfassen und festigen.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Einige Unterschiede zwischen Rabbinern, Karäern und Muslimen benennen.

## Lektüre



## Diskussion


## Vorschau

"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
